target,F1_logreg,F1_lgbm,F1_ensemble,best_model
calibration,0.6667,0.7895,0.75,lgbm
wheelmeasurement,0.5957,0.8372,0.7568,lgbm
bodymeasurement,0.2222,0.8,0.4706,lgbm
dismounting,0.9778,0.9609,0.9778,logreg
bodyrepair,0.7719,0.875,0.8852,ensemble
assembly,0.948,0.9651,0.9545,lgbm
plasticrepair,0.5926,0.8511,0.875,ensemble
allTiresService,0.2222,0.0,0.2222,logreg
cleaning,1.0,0.9948,1.0,logreg
paintingPreparation,0.9714,0.9859,0.9857,lgbm
paintingSpraying,0.9855,0.9787,0.9928,ensemble
paintingFinish,0.979,0.9859,0.9859,lgbm
hailrepair,0.9846,1.0,1.0,lgbm
glas,0.4706,0.9231,0.7143,lgbm
