target,n_pos_test,Base_Model,Base_Prec,Base_Rec,Base_Acc,Base_F1,OS_Model,OS_Prec,OS_Rec,OS_Acc,OS_F1,Recall_Delta,F1_Delta
calibration,26,lgbm,0.9286,0.5,0.8586,0.65,lgbm,0.8824,0.5769,0.8687,0.6977,0.0769,0.0477
wheelmeasurement,26,lgbm,0.8214,0.8846,0.9192,0.8519,lgbm,0.7931,0.8846,0.9091,0.8364,0.0,-0.0155
bodymeasurement,4,lgbm,0.5,0.75,0.9596,0.6,lgbm,0.75,0.75,0.9798,0.75,0.0,0.15
dismounting,86,logreg,0.9438,0.9767,0.9293,0.96,logreg,0.9655,0.9767,0.9495,0.9711,0.0,0.0111
bodyrepair,35,lgbm,0.8,0.9143,0.8889,0.8533,lgbm,0.8108,0.8571,0.8788,0.8333,-0.0571,-0.02
assembly,91,lgbm,0.9659,0.9341,0.9091,0.9497,lgbm,0.9659,0.9341,0.9091,0.9497,0.0,0.0
plasticrepair,15,lgbm,0.8824,1.0,0.9798,0.9375,lgbm,0.8333,1.0,0.9697,0.9091,0.0,-0.0284
allTiresService,5,logreg,0.1538,0.4,0.8586,0.2222,logreg,0.1538,0.4,0.8586,0.2222,0.0,0.0
cleaning,94,logreg,0.9691,1.0,0.9697,0.9843,logreg,0.9691,1.0,0.9697,0.9843,0.0,0.0
paintingPreparation,70,lgbm,0.9722,1.0,0.9798,0.9859,lgbm,0.9722,1.0,0.9798,0.9859,0.0,0.0
paintingSpraying,70,logreg,0.9714,0.9714,0.9596,0.9714,logreg,0.9855,0.9714,0.9697,0.9784,0.0,0.007
paintingFinish,70,lgbm,0.9583,0.9857,0.9596,0.9718,lgbm,0.9583,0.9857,0.9596,0.9718,0.0,0.0
hailrepair,29,lgbm,1.0,0.9655,0.9899,0.9825,lgbm,1.0,0.9655,0.9899,0.9825,0.0,0.0
glas,8,lgbm,0.8571,0.75,0.9697,0.8,lgbm,0.8889,1.0,0.9899,0.9412,0.25,0.1412
